Organization Name,Organization Name URL,Industries,Headquarters Location,CB Rank (Organization),Founded Date,Funding Status,Last Funding Date,Last Funding $,Last Funding Type,Total Funding $,Founders
Ninja Metrics,https://www.crunchbase.com/organization/ninjametrics,"Analytics, Data Mining, Information Technology","Minneapolis, Minnesota, United States","73,765",2009-01-01,Early Stage Venture,2016-07-01,1605012,Convertible Note,7967012,"Dmitri Williams, Jaideep Srivastava"
Noteable,https://www.crunchbase.com/organization/noteable,"Analytics, Apps, Big Data, Business Information Systems, Business Intelligence, Cloud Computing, Cloud Data Services, Computer, Data Integration, Software","San Jose, California, United States","8,839",2020-04-28,Early Stage Venture,2021-11-16,21000000,Series A,25080000,"Elijah Meeks, Matthew Seal, Michelle Ufford, Pierre Brunelle, Pierre Brunelle"
Notelog,https://www.crunchbase.com/organization/notelog,Internet,"San Francisco, California, United States","847,964",2007-01-01,,,,,,"Cedric Nabe, Michael Fingado"
now.gg,https://www.crunchbase.com/organization/now-gg-inc,,,"154,666",2021-01-01,,,,,,Jay Vaishnav
"O'Keefe, Reinhard and Paul",https://www.crunchbase.com/organization/okeefe-reinhard-and-paul,Advertising,"Chicago, Illinois, United States","354,373",2013-01-01,,,,,,"Matt Reinhard, Nick Paul, Tom O'Keefe"
O'Reilly,https://www.crunchbase.com/organization/oreilly-media,"EBooks, Education, Events, Information Technology, Publishing, Software, Training","Sebastopol, California, United States","133,270",1978-01-01,,,,,,"Dale Dougherty, Jesse Robbins, Scott Gray, Tim O'Reilly"
Object,https://www.crunchbase.com/organization/object-limited,E-Commerce,"Bisbee, Arizona, United States","208,575",2018-07-01,Seed,2020-12-10,,Pre-Seed,,"Anna Gray, Rudd Taylor, Will Nathan"
octobo GmbH,https://www.crunchbase.com/organization/octobo-gmbh,"Advertising, Information Technology, Marketing, Software","Weismain, Bayern, Germany","939,559",2008-04-01,,,,,,"Daniel Takriti, Karl Wehner"
Odava,https://www.crunchbase.com/organization/odava,"Cannabis, Medical, SaaS, Software","Portland, Oregon, United States","165,210",2015-10-15,M&A,2016-06-14,170500,Debt Financing,170500,"Scott Kveton, Steven Osborn"
Off & Away,https://www.crunchbase.com/organization/off-away,"Fashion, Mobile Apps, Travel","Seattle, Washington, United States","313,800",2009-12-01,M&A,2010-10-21,2000000,Venture - Series Unknown,3250000,"Doug Aley, Michael Walton"
OggiFinogi,https://www.crunchbase.com/organization/oggifinogi,"Advertising, Internet, Marketing, Video","Bellevue, Washington, United States","1,047,472",2008-01-01,M&A,2010-08-19,2000000,Series A,2000000,"Bill Caspare, Michael Hyman"
OhmData,https://www.crunchbase.com/organization/ohmdata,"Open Source, Service Industry","San Francisco, California, United States","143,248",2013-03-01,M&A,2014-04-02,185000,Seed,185000,"Alex Newman, Ryan Rawson"
Ombraz Sunglasses,https://www.crunchbase.com/organization/ombraz-sunglasses,"Brand Marketing, Fashion","Seattle, Washington, United States","113,281",2017-01-01,,2018-04-20,116181,Product Crowdfunding,116181,"Jensen Brehm, Nikolai Paloni"
One More Game,https://www.crunchbase.com/organization/one-more-games,"Gaming, Online Games, Video Games","Seattle, Washington, United States","4,919",2019-02-01,Early Stage Venture,2022-04-19,22000000,Series A,27670000,"Jamie Winsor, Patrick Wyatt"
OneClickRetail,https://www.crunchbase.com/organization/oneclickretail,"Analytics, Big Data, Business Intelligence, E-Commerce, Internet, Retail","Sandy, Utah, United States","255,782",2013-03-01,M&A,,,,,Spencer Millerberg
ooze,https://www.crunchbase.com/organization/ooze,"Advertising, Internet","Buenos Aires, Distrito Federal, Argentina","1,126,929",2007-10-24,,,,,,"Sebastian Nader, Sebastian San Juan"
Open Listings,https://www.crunchbase.com/organization/open-listings,"Apps, Information Services, Property Management, Real Estate","Los Angeles, California, United States","34,491",2014-05-01,M&A,2017-07-13,6500000,Series A,7620000,"Alexander Farrill, Judd Schoenholtz, Peter Sugihara"
OpenStudy,https://www.crunchbase.com/organization/openstudy,"E-Learning, EdTech, Education","Atlanta, Georgia, United States","178,912",2007-01-01,M&A,2008-01-01,1270000,Seed,1270000,"Ashwin Ram, Chris Sprague, Preetha Ram"
Orinoco.io,https://www.crunchbase.com/organization/orinoco-io,"Information Technology, Internet",,"759,053",2017-01-01,,,,,,Debra Farber
Orion Labs,https://www.crunchbase.com/organization/orion-labs,"Artificial Intelligence, Collaboration, Enterprise, Internet of Things, Messaging, Software","San Francisco, California, United States","9,810",2013-04-15,Early Stage Venture,2020-03-31,29000000,Series B,63000000,"Greg Albrecht, Jesse Robbins"
Oxygen,https://www.crunchbase.com/organization/oxygen-5cc0,"Banking, Financial Services, FinTech","San Francisco, California, United States","4,597",2018-05-01,,2021-07-27,,Venture - Series Unknown,24000000,Hussein Ahmed
OyeLazy,https://www.crunchbase.com/organization/oyelazy-com,"E-Commerce, Home Services, Information Technology, Marketplace","Gurgaon, Haryana, India","241,564",2019-07-17,,,,,,"Dhananjay Kumar Gupta, Sanu Kumar Gupta"
Pacific AI,https://www.crunchbase.com/organization/pacific-ai,"Artificial Intelligence, Big Data, Data Mining, Machine Learning, Natural Language Processing",,"801,141",2016-10-01,,,,,,David Talby
Pacifico&,https://www.crunchbase.com/organization/pacifico,"Banking, Consulting, Financial Services, FinTech, Information Technology, SaaS","New York, New York, United States","553,006",2015-01-01,,,,,,Mike Pacifico
Pakistan Mart,https://www.crunchbase.com/organization/pakistan-mart,"Delivery Service, E-Commerce, Food and Beverage, Food Delivery, Grocery, Retail, Shopping",,"846,215",2019-03-23,,,,,,Jeff Bezos
Palindrome Advisors,https://www.crunchbase.com/organization/palindrome-advisors,"Education, Non Profit, Training","San Francisco, California, United States","1,183,794",2001-01-01,,,,,,"Adriana Gascoigne, Anna Khan, Benjamin Boyer, David Selinger, Zaw Thet"
Panda: Connects,https://www.crunchbase.com/organization/panda-connects,"Apps, Mobile, Mobile Apps, Video",,"1,698,864",2017-08-15,,,,,,Paari Kandappan
PaperDrop Imaging,https://www.crunchbase.com/organization/paperdrop-imaging,"Information Technology, Software","Los Angeles, California, United States","1,081,115",,,,,,,"Brian Radmin, Mahmoud Hafez"
Parle,https://www.crunchbase.com/organization/parle,"Browser Extensions, Developer Tools, Search Engine","Hong Kong, Hong Kong Island, Hong Kong","96,630",2015-01-01,,2015-09-01,64515,Non-equity Assistance,64515,"Ben Tiede, Hamza Zia, Jenny Kang, Meng (JJ) Jiang"
Patagonia Sur,https://www.crunchbase.com/organization/patagonia-sur,"Financial Services, Insurance","Casa Bamba, Cordoba, Argentina","1,603,284",2007-01-01,,,,,,Warren Adams
PatCen Healthcare,https://www.crunchbase.com/organization/patcen-healthcare,Health Care,"Bellevue, Washington, United States","579,902",,,,,,,Sujit Kumar
Pawsley,https://www.crunchbase.com/organization/pawsley,"Communities, E-Commerce, Internet of Things, Mobile, Pet, Social Network","New York, New York, United States","599,683",2010-08-01,,,,,,Mike Pacifico
PayNearMe,https://www.crunchbase.com/organization/paynearme,"Financial Services, FinTech, Mobile Payments, Payments","Santa Clara, California, United States","5,450",2009-01-01,,2020-01-01,12500000,Debt Financing,73199988,Danny Shader
Peach,https://www.crunchbase.com/organization/peach-labs,"Delivery, Food and Beverage, Restaurants","Seattle, Washington, United States","21,550",2014-06-20,Early Stage Venture,2018-06-19,,Series B,10700000,"Chenyu Wang, Denis Bellavance, Nishant Singh"
Peach Tee LLC,https://www.crunchbase.com/organization/peach-tee-llc,Retail,,"1,159,997",2005-04-01,,,,,,Lauren Koester
Peak,https://www.crunchbase.com/organization/brainbow,"EdTech, Education, Fitness, Mobile, Software, Wellness","London, England, United Kingdom","25,200",2012-01-01,M&A,2015-12-16,,Non-equity Assistance,10532081,"Gerald Goldstein, Itamar Lesuisse, Sagi Shorrer, Xavier Louis"
Peapod,https://www.crunchbase.com/organization/peapod,"Delivery, E-Commerce, Grocery","Skokie, Illinois, United States","153,043",1989-01-01,M&A,2000-04-14,73000000,Post-IPO Equity,73000000,"John Furton, Thomas Parkinson, Young Lee"
Peatix,https://www.crunchbase.com/organization/peatix,"E-Commerce, Event Management, SaaS, Software","New York, New York, United States","25,717",2011-01-01,Late Stage Venture,2019-02-05,1900000,Series D,13900000,"Emi Takemura, Naofumi Iwai, Taku Harada, Yuji Fujita"
Pelago,https://www.crunchbase.com/organization/pelago,"Mobile, Shopping, Software","Seattle, Washington, United States","126,437",2005-12-01,M&A,2008-05-27,15000000,Series B,22400000,"Darren Erik Vengroff, Jeff Holden"
Percipient.ai,https://www.crunchbase.com/organization/percipient-ai,"Analytics, Artificial Intelligence, Machine Learning, National Security, Security","Santa Clara, California, United States","8,843",2017-01-01,,2021-04-23,49999997,Venture - Series Unknown,87199995,"Anantha Bangalore, Raj Shah, Rakesh Mathur"
Perkbox,https://www.crunchbase.com/organization/perkbox,"Customer Service, Employee Benefits, Employment, Human Resources, Software","London, England, United Kingdom","7,979",2010-01-01,,2019-04-29,17458055,Venture - Series Unknown,29680532,"Chieu Cao, Gautam Sahgal, Saurav Chopra"
Perpetto,https://www.crunchbase.com/organization/perpetto,"E-Commerce, Marketing Automation, Software","Sofia, Grad Sofiya, Bulgaria","130,318",2013-03-01,Seed,2015-12-01,116914,Convertible Note,254180,"Alexander Kitov, Vlad Alexiev, Yavor Stoychev"
Petabyte Technology,https://www.crunchbase.com/organization/petabyte-technology,"Cloud Management, Health Care, Software, Veterinary","Bellevue, Washington, United States","24,048",2019-01-01,Early Stage Venture,2021-09-07,15000000,Series B,23000000,"Alex Krooglik, Michael Hyman"
Petal,https://www.crunchbase.com/organization/petal,"Credit Cards, Financial Services, FinTech, Machine Learning","New York, New York, United States","16,327",2016-01-01,Late Stage Venture,2022-01-14,1200000,Secondary Market,704600000,"Andrew Endicott, David Ehrich, Jack Arenas, Jason Gross"
Petricorp,https://www.crunchbase.com/organization/petricorp,,"New York, New York, United States","109,833",2020-01-01,,2021-03-22,3676999,Venture - Series Unknown,3676999,Jake Moshenko
Pickie,https://www.crunchbase.com/organization/pickie,"E-Commerce, Fashion, Finance, Social Media","New York, New York, United States","142,488",2011-01-01,M&A,2012-10-29,1000000,Seed,1118000,"Abhijit Rao, Ryan Weber, Sonia Nagar"
PIE,https://www.crunchbase.com/organization/pie,"Automotive, Incubators","Portland, Oregon, United States","306,905",2009-08-01,,,,,,"Jason Glaspey, Renny Gleeson, Rick Turoczy, Scott Kveton"
Piggy,https://www.crunchbase.com/organization/piggy,"Banking, Financial Services, FinTech, Mobile Apps, Wealth Management","Mumbai, Maharashtra, India","22,521",2016-01-01,Seed,2021-01-12,25000,Grant,1025000,"Ankush Singh, Kunal Sangwan, Nikhil Mantha"
Pinster,https://www.crunchbase.com/organization/pinster,"Analytics, Enterprise Software, Publishing, SaaS, Social Bookmarking, Social Media","San Francisco, California, United States","562,425",2012-08-01,,,,,,"Aamer Abbas, Peter Chang"
Pioneer Square Labs,https://www.crunchbase.com/organization/pioneer-square-labs,"Enterprise Software, Financial Services, Internet, Mobile","Seattle, Washington, United States","17,126",2015-01-01,Early Stage Venture,2018-01-18,15000000,Series B,27500000,"Ben Gilbert, Geoff Entress, Greg Gottesman, Julie Sandler, Mike Galgon"
Pixie,https://www.crunchbase.com/organization/pixie-labs-f7c0,"Developer APIs, Developer Platform, Developer Tools, Enterprise Software, Machine Learning, Software","San Francisco, California, United States","21,822",2018-07-01,Early Stage Venture,2020-10-01,9150000,Series A,9150000,"Ishan Mukherjee, Zain Asgar"
Plixi,https://www.crunchbase.com/organization/plixi,"Social Media Management, Social Media Marketing, Software","San Diego, California, United States","181,915",2009-03-18,M&A,2010-03-30,2600000,Series A,2600000,"Andre Haug, Rodney Rumford"
Plunk,https://www.crunchbase.com/organization/plunk-1950,"Analytics, Artificial Intelligence, Machine Learning, Mobile Apps, Real Estate, Software","Bellevue, Washington, United States","22,538",2019-04-01,Seed,2021-05-11,6500000,Seed,6500000,"Brian Lent, Brian Lent, David Bluhm"
Plural,https://www.crunchbase.com/organization/plural-7a3b,,"Vancouver, British Columbia, Canada","113,784",2021-01-01,Seed,2021-01-01,78555,Pre-Seed,78555,Michael Kedda
Plydge,https://www.crunchbase.com/organization/plydge,Software,"Boynton Beach, Florida, United States","1,338,310",2018-01-12,,,,,,"Allyn Alford, Frank Lambert, Nick Alberino"
Polar,https://www.crunchbase.com/organization/polar-me,"Advertising Platforms, Digital Media","New York, New York, United States","41,742",2008-05-01,Early Stage Venture,2016-04-01,,Series A,12985143,"Gaurav Jain, Kunal Gupta"
Polkast,https://www.crunchbase.com/organization/polkast,"Android, Cloud Computing, Consumer Electronics, iOS, Meeting Software, Mobile, Photography, Security","Laguna Beach, California, United States","271,639",2010-12-15,,,,,,Hong Bui
Pomora Good Food,https://www.crunchbase.com/organization/pomora-good-food,"Agriculture, Farmers Market, Oil and Gas","London, England, United Kingdom","839,564",2014-06-05,,,,,,"Alun Johns, Paul McGuigan"
Popsink,https://www.crunchbase.com/organization/popsink,"Analytics, Software",,"191,548",2021-08-01,Seed,2021-12-01,,Pre-Seed,,"Alexandre Colella, Benjamin Djidi"
Potintia Inc.,https://www.crunchbase.com/organization/potintia,,,"1,246,908",2016-06-01,,,,,,West Stringfellow
Precision Epigenomics,https://www.crunchbase.com/organization/precision-epigenomics,"Biotechnology, Health Diagnostics, Medical","Tucson, Arizona, United States","789,526",2020-01-01,,,,,,Gary Clarke
Precision Polling,https://www.crunchbase.com/organization/precision-polling,"Market Research, Public Relations","Seattle, Washington, United States","699,161",2009-01-01,M&A,,,,,"Charles Groom, Guarav Oberoi"
Prefix Capital,https://www.crunchbase.com/organization/prefix-capital,"Finance, Financial Services, Venture Capital","San Francisco, California, United States","166,906",2019-01-01,,,,,,"Byron Alsberg, Calvin Ling, Owen Van Natta"
PrepMe,https://www.crunchbase.com/organization/prepme,"Education, Test and Measurement","Chicago, Illinois, United States","288,032",2001-01-01,,,,,,"Avichal Garg, Joe Jewell, Karan Goel"
Private Porch,https://www.crunchbase.com/organization/private-porch,"Hospitality, Vacation Rental","Portland, Oregon, United States","978,288",2019-06-01,,,,,,Scott Kveton
Prizmiq,https://www.crunchbase.com/organization/prizmiq,"3D Technology, Augmented Reality, E-Commerce, Internet, Photography, Retail","Seattle, Washington, United States","137,672",2013-04-04,Seed,2015-05-15,300000,Convertible Note,540000,"Darrick Morrision, Jacco Goris"
Pro.com,https://www.crunchbase.com/organization/pro-com,"Home Improvement, Home Renovation, Smart Home","Seattle, Washington, United States","6,754",2013-01-01,M&A,2019-01-17,33000000,Series B,60500000,"Dean Falconer, Eric Wilson, Greg Meyer, Gregor Purdy, Matt Williams"
Productiv,https://www.crunchbase.com/organization/productiv-ai,"Analytics, Application Performance Management, Data Integration, Enterprise Software, SaaS, Software","Palo Alto, California, United States","31,251",2018-01-01,Late Stage Venture,2021-03-31,45000000,Series C,73000000,"Ashish Aggarwal, Jody Shapiro, Munish Gandhi"
ProductTank,https://www.crunchbase.com/organization/producttank,"Communities, Hospitality, Internet","San Francisco, California, United States","1,402,101",2017-05-01,,,,,,"Casper Sermsuksan, Martin Eriksson"
Prodx,https://www.crunchbase.com/organization/prodx,,,"270,144",,,,,,,Brodie Yastrum
ProFounder,https://www.crunchbase.com/organization/profounder,"Finance, Funding Platform","Los Angeles, California, United States","179,187",2007-01-01,Seed,2011-01-31,,Convertible Note,275000,"Dana Mauriello, Evan Reas, Jessica Jackley"
PromoCity,https://www.crunchbase.com/organization/promocity,"E-Commerce, Group Buying",,"1,202,646",2010-08-02,M&A,,,,,"Michael Devyver, Samuel Devyver"
ProspX,https://www.crunchbase.com/organization/prospx,"Enterprise Software, SaaS, Software","Austin, Texas, United States","83,535",2005-01-01,,2014-10-10,250000,Venture - Series Unknown,30121228,"Todd L. Young, Trieu Pham"
psHEALTH,https://www.crunchbase.com/organization/pshealth,"Health Care, Information Technology, Insurance, Mobile","London, England, United Kingdom","387,950",2009-03-01,,,,,,Abhishek Agrawal
Publect,https://www.crunchbase.com/organization/publect,"Crowdsourcing, Politics",,"1,609,870",2015-02-01,,,,,,Bryan Healey
Qikfit,https://www.crunchbase.com/organization/qikfit,"Fitness, Health Care","Playa Vista, California, United States","1,776,470",2009-10-15,,,,,,Andy Kim
Qoreboard,https://www.crunchbase.com/organization/qoreboard,"Information Technology, Messaging","Katy, Texas, United States","99,633",2018-01-01,Seed,2019-04-02,1600000,Seed,1600000,"Jeremy Johnston, Michael Midgett"
quay.io,https://www.crunchbase.com/organization/quay-io,Software,"New York, New York, United States","263,052",2012-01-01,M&A,,,,,"Jacob Moshenko, Jake Moshenko, Joseph Schorr"
Quizizz,https://www.crunchbase.com/organization/quizizz,"E-Learning, Education, Gamification, Skill Assessment, Software, Training","Bangalore, Karnataka, India","2,110",2015-01-01,Early Stage Venture,2021-06-29,31500000,Series B,47004114,"Ankit Gupta, Deepak Joy Cheenath"
quosap.com,https://www.crunchbase.com/organization/quosap-com,"B2B, Enterprise Software, Service Industry","Oakland, California, United States","1,236,149",2011-01-01,,,,,,"David Leung, Kyle Kekelis, Thien Nguyen"
Raena,https://www.crunchbase.com/organization/raena,"Consumer Goods, E-Commerce, Web Apps","Jakarta, Jakarta Raya, Indonesia","16,514",2018-01-01,Early Stage Venture,2022-02-02,,Non-equity Assistance,20820000,"Guo Xing Lim, Sreejita Deb"
Rangespan,https://www.crunchbase.com/organization/rangespan,"Analytics, E-Commerce, Software, Supply Chain Management","London, England, United Kingdom","105,322",2011-01-01,M&A,2012-12-07,5000000,Venture - Series Unknown,5000000,"Matt Henderson, Ryan Regan"
Rapid Medical,https://www.crunchbase.com/organization/rapid-medical,"Biotechnology, Health Care, Medical, Medical Device","Yoqne`am `illit, HaZafon, Israel","23,746",2008-01-01,Late Stage Venture,2021-05-03,50000000,Series D,79000000,"Ronen Eckhouse, Shimon Eckhouse"
RapidBuyr,https://www.crunchbase.com/organization/rapidbuyr,"Advertising, B2B, E-Commerce","Maynard, Massachusetts, United States","553,998",2010-11-01,,,,,,Darr Aley
RapidEngage,https://www.crunchbase.com/organization/rapidengage,Market Research,"San Diego, California, United States","1,122,442",2012-10-02,M&A,2014-12-01,,Non-equity Assistance,,"Andre Haug, Daniel Marashlian, Rodney Rumford"
RCIT,https://www.crunchbase.com/organization/rcit,"Consulting, Information Technology","Riverside, California, United States","462,228",,,,,,,Michael Garbade
Real Labs,https://www.crunchbase.com/organization/real-labs,"Content Creators, Social Media, Video Advertising","San Francisco, California, United States","84,509",2016-01-01,Seed,2016-09-09,220000,Pre-Seed,220000,"Jj Maxwell, Tim Lenardo"
Red Swoosh,https://www.crunchbase.com/organization/red-swoosh,Finance,"Krabi, Krabi, Thailand","142,415",2001-01-01,M&A,2006-02-21,1730000,Series A,1730000,"Michael Todd, Travis Kalanick"
Redfin,https://www.crunchbase.com/organization/redfin,"Internet, Property Management, Real Estate","Seattle, Washington, United States","7,922",2004-10-01,IPO,2020-03-30,110000000,Post-IPO Equity,319620000,"David Eraker, David Selinger, Michael Dougherty"
Regular.io,https://www.crunchbase.com/organization/regular-io,"E-Commerce, Subscription Service",,"456,963",2014-02-01,,,,,,"Andrew Chin, Ben Richardson, Sebastian Sibelle"
Releva.ai,https://www.crunchbase.com/organization/releva-ai,"E-Commerce, Information Technology, Software","Sofia, Grad Sofiya, Bulgaria","84,184",2020-06-08,Seed,2022-03-17,665949,Seed,665949,Yavor Stoychev
Remarkist,https://www.crunchbase.com/organization/remarkist,,,"778,321",2021-01-01,,,,,,"John Cabrera, Sean Harding"
Rennco,https://www.crunchbase.com/organization/rennco,"Industrial, Machinery Manufacturing, Manufacturing","Homer, Michigan, United States","1,145,190",1969-01-01,,,,,,Mike George
RentMatch,https://www.crunchbase.com/organization/rentmatch,"Finance, Property Management, Real Estate","Seattle, Washington, United States","363,021",2010-07-01,Seed,2011-12-01,,Seed,,"Bryan Leptich, Darrick Morrision, Phillip Lee"
Reperio Health,https://www.crunchbase.com/organization/reperio,"Employee Benefits, Health Care, Medical Device, Personal Health","Portland, Oregon, United States","22,088",2020-01-01,Seed,2021-03-01,6000000,Seed,6000000,"Matt Wallington, Travis Rush"
Replenium,https://www.crunchbase.com/organization/replenium,"Information Services, Information Technology","Seattle, Washington, United States","41,970",2015-01-01,Early Stage Venture,2019-11-07,8000000,Series A,8000000,"Brodie Yastrum, Justin Leigh, Tom Furphy"
Reprise,https://www.crunchbase.com/organization/reprise,"Enterprise Software, Information Technology, Software","Boston, Massachusetts, United States","3,236",2020-01-01,Early Stage Venture,2021-11-09,62000000,Series B,82200000,"Bryan Stevenson, Evan Powell, Joe Caprio, Samuel Clemens"
RestockChina,https://www.crunchbase.com/organization/restock-china,"E-Commerce, Manufacturing","Hong Kong, Hong Kong Island, Hong Kong","853,811",2015-03-30,Seed,2015-08-01,,Angel,,Jess Anuna
Revstr,https://www.crunchbase.com/organization/revstr,"Crowdfunding, Education, Financial Services, Non Profit, Social Media","Lille, Nord-Pas-de-Calais, France","223,739",2012-12-20,Seed,2013-12-13,40000,Seed,40000,"Alexandre Colella, Benjamin Djidi"
RichRelevance,https://www.crunchbase.com/organization/richrelevance,"E-Commerce, Internet, Mobile, Personalization, Product Search, Retail","San Francisco, California, United States","18,272",2006-01-01,Late Stage Venture,2014-06-02,10000000,Series G,95832065,"David Selinger, Mike DeCourcey, Sundeep Ahuja, Tyler Kohn, Tyler Kohn"
Rocket Internet,https://www.crunchbase.com/organization/rocket-internet,"Finance, Financial Services, Incubators, Internet, Software","Berlin, Berlin, Germany","1,958",2007-01-01,IPO,2015-02-13,670552409,Post-IPO Equity,2249056676,"Alexander Samwer, Christopher Strauch, Fabio Tran, Issam Abedin, Jan Wilmking, Jeremy Hodara, Julian Leitner, Marc Samwer, Michele Ferrario, Navid Hadzaad Javaherian, Nickyl Raithatha, Oliver Samwer, Stefan Jung, Steffen Wulff Petersen, Tito Costa"
rocketship.vc,https://www.crunchbase.com/organization/rocketship-vc,"Finance, Financial Services, Venture Capital","Los Altos, California, United States","63,320",2013-01-01,,2020-08-31,,Convertible Note,,"Anand Rajaraman, Venky Harinarayan"
Rooster Park Consulting,https://www.crunchbase.com/organization/rooster-park-consulting,"Consulting, Human Resources, Information Technology, Staffing Agency","Seattle, Washington, United States","384,246",2009-01-01,M&A,,,,,Scott Ruthfield
Runnr,https://www.crunchbase.com/organization/roadrunnr,"Delivery, Food Delivery, Logistics, Supply Chain Management","Bangalore City, Karnataka, India","21,970",2015-01-01,M&A,2016-08-29,7000000,Series B,28799924,"Aravind Reddy, Arpit Dave, Gnanesh Chillukuri, Mohit Kumar, Mukunda NS, Vatsal singhal"
SaF,https://www.crunchbase.com/organization/saf-d8f3,"Android, Apps, iOS, Marketplace, Mobile, Peer to Peer, Software",,"394,528",2019-01-01,,,,,,"Pete Mangum, Shahrzad Vossoughi, Yalda Moshiri"
Safe + secure TV,https://www.crunchbase.com/organization/safe-secure-tv,,,"1,944,460",2014-01-01,,,,,,Euan McLeod
Sakari,https://www.crunchbase.com/organization/sakari,"Messaging, SaaS, Software","San Francisco, California, United States","156,123",2017-05-01,,,,,,"Adam Horsman, Chris Thomson"
SALT,https://www.crunchbase.com/organization/salt-3,"Mobile, Restaurants, Social Media, Travel","New York, New York, United States","186,532",2012-08-01,,,,,,"Rudd Taylor, Vivek George"
Scalable Ventures,https://www.crunchbase.com/organization/scalable-ventures,,"Louisville, Kentucky, United States","351,558",2010-11-05,,,,,,"Michael Fountain, Vik Chadha"
Schoolz,https://www.crunchbase.com/organization/schoolz-bc25,"Education, Transportation","Cairo, Al Qahirah, Egypt","288,785",2020-02-01,Seed,2021-08-16,,Pre-Seed,,"Abdel Monsef Ismail, Ayman Hamza, Hosni Ahmed"
Scour,https://www.crunchbase.com/organization/scour,"Local, Search Engine","Sherman Oaks, California, United States","237,533",1997-11-03,M&A,,,,,"Dan Rodrigues, Daniel Blake Saltman, Michael Todd, Travis Kalanick"
Scoville,https://www.crunchbase.com/organization/scoville,"Ediscovery, Internet, Location Based Services, Mobile","London, England, United Kingdom","600,486",2010-01-01,M&A,2010-01-01,400000,Seed,400000,"Gerald Goldstein, Itamar Lesuisse"
Scratch,https://www.crunchbase.com/organization/scratch-fi,FinTech,"San Francisco, California, United States","2,115",2015-10-01,,2018-12-17,,Convertible Note,17250000,"Chris Walters, Sameh Elamawy"
Screenable,https://www.crunchbase.com/organization/screenable,"Android, Apps, College Recruiting, Human Resources, iOS, Recruiting, Software, Video, Web Apps","London, England, United Kingdom","274,676",2020-01-01,,,,,,"Bobby Tang, Kirstie Brockett, Mac Dziedziela"
Scythia,https://www.crunchbase.com/organization/scythia,"Asset Management, E-Commerce, Internet, Marketplace","London, England, United Kingdom","170,132",2021-01-01,Seed,2021-09-01,,Seed,,"Alex Walker, Chris Lindsay, Dipish Rai, Sotiris T.F. Lyritzis"
Search4Campus,https://www.crunchbase.com/organization/search4campus,Search Engine,"New Delhi, Delhi, India","1,302,085",2011-05-02,,,,,,Akash Sinha
SeattleRentals.com,https://www.crunchbase.com/organization/seattlerentals-com,Real Estate,"Seattle, Washington, United States","1,299,553",2002-01-01,,,,,,Darren Austin
Shakudo,https://www.crunchbase.com/organization/devsentient,"Artificial Intelligence, Machine Learning, Software","Toronto, Ontario, Canada","23,339",2021-01-01,Seed,2021-08-01,3368489,Seed,3368489,Yevgeniy Vahlis
Sheltair,https://www.crunchbase.com/organization/sheltair,"Apps, Mobile Apps, Web Apps","Barcelona, Catalonia, Spain","103,311",2016-09-01,Seed,2018-04-18,680832,Seed,680832,"Anna Martinez Balañá, Jaime de la Torre de Ysasi-Ysasmendi"
Sherpalo Ventures,https://www.crunchbase.com/organization/sherpalo-ventures,Venture Capital,"Menlo Park, California, United States","147,934",2000-01-01,,,,,,Ram Shriram
ShopUp,https://www.crunchbase.com/organization/shopup,"B2B, E-Commerce, Logistics","Dhaka, Dhaka, Bangladesh","23,037",2017-01-01,Early Stage Venture,2021-09-07,109000000,Series B,137440700,"Afeef Zaman, Ataur Rahim Chowdhury, Navaneetha Krishnan, Siffat Sarwar, Sujayath Ali"
Shotcall,https://www.crunchbase.com/organization/shotcall,"Digital Entertainment, eSports, Gamification, Gaming, Marketplace, Media and Entertainment, Video Streaming","Atlanta, Georgia, United States","37,014",2018-02-27,Seed,2020-10-28,2200000,Seed,2200000,"Gordon Li, Riley Auten, Thomas Gentle"
Shutterfly,https://www.crunchbase.com/organization/shutterfly,"Gift, Manufacturing, Photo Sharing, Photography, Printing, Retail","Redwood City, California, United States","95,464",1999-09-01,M&A,2005-12-06,20000000,Series F,50020000,"Christopher North, Eva Manolis"
SigFig,https://www.crunchbase.com/organization/sigfig,"Accounting, Finance, Financial Services, FinTech, Management Consulting, News, Stock Exchanges","San Francisco, California, United States","3,665",2007-01-01,Late Stage Venture,2018-06-19,50000000,Series E,119500000,"Mike Sha, Parker Conrad"
Silicon Climate,https://www.crunchbase.com/organization/silicon-climate,"CleanTech, Non Profit",,"1,408,474",2015-01-01,,,,,,"Ameen Saafir, Aswan Morgan, David Selinger, Sundeep Ahuja"
Simkins Court,https://www.crunchbase.com/organization/simkins-court,"Property Management, Real Estate Investment, Rental Property","Palo Alto, California, United States","1,502,589",,,,,,,Andrea Chin
SkyPoint,https://www.crunchbase.com/organization/skypoint-group,"Real Estate, Rental, Rental Property","Beaverton, Oregon, United States","748,340",2019-01-01,,,,,,Tisson Mathew
SkyPoint Cloud,https://www.crunchbase.com/organization/skypoint-cloud-inc,"Analytics, Cloud Data Services, Cyber Security, Data Integration, Retail","Lake Oswego, Oregon, United States","10,763",2019-05-05,Seed,2021-09-10,7500000,Seed,10000000,Tisson Mathew
